Lionel Messi,8.17
Paulo Dybala,7.29
Ángel Di María,7.24
Lautaro Martínez,7.09
Julián Álvarez,7.27
Ángel Correa,6.74
Rodrigo de Paul,7.09
Leandro Paredes,7.03
Enzo Fernández,7.47
Papu Gómez,6.92
Alexis Mac Allister,7.14
Nahuel Molina,6.85
Thiago Almada,7.41
Exequiel Palacios,6.88
Guido Rodríguez,7.16
Lisandro Martínez,7.17
Cristian Romero,7.03
Nicolás Otamendi,7.15
Nicolás Tagliafico,6.94
Juan Foyth,6.80
Marcos Acuña,6.99
Gonzalo Montiel,6.61
Germán Pezzella,6.94
Emiliano Martínez,6.84
Gerónimo Rulli,7.04
Franco Armani,7.07
Kylian Mbappé,7.75
Karim Benzema,7.51
Ousmane Dembélé,7.4
Antoine Griezmann,7.24
Olivier Giroud,7.21
Marcus Thuram,7.12
Randal Kolo Muani,6.93
Eduardo Camavinga,6.89
Aurélien Tchouaméni,7.3
Kingsley Coman,7.05
Adrien Rabiot,7.11
Mattéo Guendouzi,6.96
Jordan Veretout,6.94
Youssouf Fofana,6.84
Raphaël Varane,6.96
Jules Koundé,7.08
Theo Hernández,7.3
Dayot Upamecano,7.0
Ibrahima Konaté,6.96
William Saliba,6.98
Benjamin Pavard,7.24
Lucas Hernández,6.94
Axel Disasi,7.06
Hugo Lloris,6.9
Alphonse Aréola,6.83
Steve Mandanda,6.95
Mario Pašalić,6.78
Andrej Kramarić,6.87
Marko Livaja,7.39
Bruno Petković,7.06
Ante Budimir,6.76
Luka Modrić,7.17
Mateo Kovačić,6.91
Ivan Perišić,7.21
Marcelo Brozović,7.07
Nikola Vlašić,6.7
Mislav Oršić,7.24
Lovro Majer,7.02
Luka Sučić,7.16
Kristijan Jakić,6.59
Joško Gvardiol,6.99
Dejan Lovren,7.3
Borna Sosa,7.24
Josip Stanišić,6.86
Domagoj Vida,6.99
Josip Juranović,7.1
Borna Barišić,7.02
Martin Erlić,6.94
Josip Šutalo,7.17
Dominik Livaković,7.0
Ivo Grbić,6.72
Ivica Ivušić,6.91
Hakim Ziyech,7.06
Abdessamad Ezzalzouli,6.74
Youssef En-Nesyri,6.74
Sofiane Boufal,7.02
Abderrazak Hamdallah,7.06
Zakaria Aboukhlal,6.68
Ilias Chair,7.16
Walid Cheddira,7.27
Anass Zaroury,6.88
Sofyan Amrabat,6.93
Azzedine Ounahi,6.84
Abdelhamid Sabiri,6.92
Selim Amallah,6.84
Bilal El Khannouss,6.88
Yahya Jabrane,7.05
Achraf Hakimi,6.98
Noussair Mazraoui,7.01
Romain Saïss,6.89
Nayef Aguerd,7.01
Achraf Dari,6.93
Jawad El Yamiq,7.1
Badr Benoun,6.00
Yahia Attiyat Allah,6.96
Bono,6.87
Monir El Kajoui,6.92
Ahmed Reda Tagnaouti,6.90
