Brazil,Cameroon,2195
Argentina,Poland,2101
Spain,Japan,2056
France,Tunisia,2046
Portugal,South Korea,2044
Netherlands,Qatar,2036
Belgium,Croatia,1948
Croatia,Belgium,1945
England,Wales,1944
Germany,Costa Rica,1931
Denmark,Australia,1928
Switzerland,Serbia,1901
Uruguay,Ghana,1890
Ecuador,Senegal,1885
Serbia,Switzerland,1862
Morocco,Canada,1851
Poland,Argentina,1844
US,Iran,1810
Iran,US,1809
Mexico,Saudi Arabia,1794
Japan,Spain,1792
Costa Rica,Germany,1762
South Korea,Portugal,1750
Wales,England,1742
Australia,Denmark,1734
Canada,Morocco,1732
Senegal,Ecuador,1730
Tunisia,France,1694
Saudi Arabia,Mexico,1662
Cameroon,Brazil,1621
Ghana,Uruguay,1611
Qatar,Netherlands,1589
