England,"['Harry Kane', 'Harry Kane', 'Cole Palmer', 'Ivan Toney', 'Harry Kane', 'Harry Kane', 'Callum Wilson', 'Harry Kane']"
France,"['Kylian Mbappé', 'Kylian Mbappé', 'Kylian Mbappé', 'Antoine Griezmann', 'Kylian Mbappé', 'Kylian Mbappé']"
Portugal,"['Diogo Jota', 'Cristiano Ronaldo', 'Cristiano Ronaldo', 'Rafael Leão', 'Cristiano Ronaldo', 'Bruno Fernandes']"
Spain,"['Álvaro Morata', 'Álvaro Morata', 'Álvaro Morata', 'Rodri', 'Rodri', 'Ferran Torres', 'Álvaro Morata', 'Pablo Sarabia', 'Álvaro Morata']"
Germany,"['Kai Havertz', 'Kai Havertz', 'Kai Havertz', 'Joshua Kimmich', 'Niclas Füllkrug', 'Kai Havertz', 'İlkay Gündoğan', 'İlkay Gündoğan']"
Netherlands,"['Virgil van Dijk', 'Wout Weghorst', 'Cody Gakpo', 'Memphis Depay', 'Memphis Depay', 'Memphis Depay']"
Italy,"['Jorginho', 'Ciro Immobile', 'Jorginho', 'Domenico Berardi', 'Jorginho', 'Ciro Immobile']"
Belgium,"['Romelu Lukaku', 'Leandro Trossard', 'Romelu Lukaku', 'Romelu Lukaku', 'Romelu Lukaku', 'Romelu Lukaku']"
Denmark,"['Christian Eriksen', 'Christian Eriksen', 'Christian Eriksen', 'Simon Kjær', 'Pierre-Emile Højbjerg', 'Kasper Dolberg', 'Christian Eriksen', 'Christian Eriksen', 'Christian Eriksen']"
Türkiye,"['Hakan Çalhanoğlu', 'Hakan Çalhanoğlu', 'Hakan Çalhanoğlu', 'Yusuf Yazıcı', 'Yusuf Sarı', 'Hakan Çalhanoğlu', 'Cengiz Ünder', 'Cengiz Ünder']"
Switzerland,"['Xherdan Shaqiri', 'Xherdan Shaqiri', 'Haris Seferovic', 'Ricardo Rodríguez', 'Ricardo Rodríguez', 'Ricardo Rodríguez']"
Austria,"['Marko Arnautovic', 'Christoph Baumgartner', 'Michael Gregoritsch', 'Marcel Sabitzer', 'Marcel Sabitzer', 'Marko Arnautovic']"
Georgia,"['Georges Mikautadze', 'Georges Mikautadze', 'Georges Mikautadze', 'Georges Mikautadze', 'Khvicha Kvaratskhelia', 'Giorgi Chakvetadze']"
Slovakia,"['Ondrej Duda', 'Erik Jirka', 'Ondrej Duda', 'Ján Greguš', 'Filip Hlohovsky', 'Marek Hamsik']"
Slovenia,"['Benjamin Sesko', 'Benjamin Sesko', 'Andraz Sporar', 'Sandi Lovric', 'Josip Ilicic', 'Josip Ilicic']"
Romania,"['Răzvan Marin', 'Dennis Man', 'Răzvan Marin', 'Nicolae Stanciu', 'Daniel Paraschiv', 'George Pușcaș']"
